Time,Concentration
0.5415162454873723, 2.3121387283237027
4.87364620938628, 55.49132947976864
8.122743682310471, 113.2947976878612
11.371841155234662, 171.09826589595377
15.162454873646212, 231.21387283236982
18.953068592057775, 295.9537572254335
25.451263537906144, 360.69364161849705
32.490974729241884, 404.62427745664735
38.98916967509027, 446.24277456647394
49.277978339350184, 490.17341040462424
61.19133574007222, 529.4797687861271
72.56317689530687, 557.2254335260116
87.72563176895306, 573.4104046242774
101.80505415162457, 591.907514450867
118.59205776173286, 596.5317919075144
132.12996389891697, 601.1560693641618
146.75090252707582, 591.907514450867
158.12274368231047, 580.3468208092485
171.11913357400724, 568.78612716763
183.03249097472926, 550.2890173410403
192.77978339350182, 538.7283236994219
203.61010830324915, 524.8554913294797
214.44043321299637, 510.98265895953756
225.2707581227437, 490.17341040462424
235.55956678700363, 480.9248554913294
246.3898916967509, 462.42774566473986
256.1371841155235, 453.179190751445
266.9675090252708, 436.99421965317913
279.42238267148014, 423.12138728323697
299.4584837545126, 406.936416184971
