Time,Concentration
0, 0.010582010582010248
1.8486916951080765, 0.021164021164021385
3.794896798309768, 0.05291005291005302
5.946692670242159, 0.11640211640211628
8.200606750094805, 0.1693121693121693
10.967820575329108, 0.27513227513227534
13.223089008071947, 0.3809523809523814
16.09377539411669, 0.5291005291005297
19.272170756812393, 0.698412698412699
22.245787962511514, 0.8677248677248683
24.195514383227696, 1.0370370370370376
27.16858984777074, 1.1851851851851856
29.219621864673066, 1.312169312169312
31.065333983422725, 1.4179894179894181
32.91131697275043, 1.5343915343915349
34.55252180508153, 1.6507936507936511
36.295573974754866, 1.746031746031746
38.244216913158894, 1.8730158730158735
40.192588980984894, 1.9894179894179898
42.24362099788722, 2.1164021164021167
44.60127850912835, 2.2222222222222223
46.344330678801676, 2.3174603174603177
47.985264640554746, 2.4232804232804237
49.9333658378027, 2.5291005291005293
51.779077956552364, 2.6349206349206353
53.62424833414595, 2.71957671957672
54.95747331924807, 2.8042328042328046
56.290427433772166, 2.878306878306878
57.72604149737256, 2.9629629629629632
60, 3.047619047619048
