Time,Concentration
0, 2027.5173715021863
0.04275185115514546, 1927.8325951513702
2.3376712211638733, 1808.2459770508065
6.337534415240171, 1662.1110294075734
12.020110470783365, 1575.8320935296501
20.536279220890265, 1476.3228847809112
30.742001128648866, 1410.083736625796
41.5069172495169, 1370.4430801853723
52.83957795372541, 1324.1684764950323
66.42782632487985, 1311.1764739413218
81.15669408485385, 1264.9771135090152
94.74494245600835, 1251.9851109553047
106.62995707714146, 1258.8949501513416
117.94893718898027, 1265.7922488043735
129.2644971527267, 1285.982523043248
141.1495117738598, 1292.8923622392851
153.02939617285426, 1319.7416648140866
164.90757049780254, 1353.2374551818098
176.79087504488945, 1366.793782170768
186.40491133266067, 1400.239410366469
196.02578791661676, 1407.0990873904843
207.3362176582246, 1447.2288250081228
216.95196402004206, 1474.0279654109027
227.13716503924616, 1487.5466707708447
240.14911845682911, 1514.421054431657
249.20054038339856, 1534.5611664985095
261.08213485643927, 1554.7639812803895
274.09579834806846, 1574.9918771482808
287.6754963489918, 1595.2323135591773
300, 1602.1421527552143
